Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Solo Kills
83.0,0.6629999999999999,3.1,2.7,2.8,6.0,7.0,364,0.65,0.21,408,0.42,0.17,0.18,-68,-5,-25,0.24100000000000002,0.16899999999999998,23
12.0,0.16699999999999998,1,0.9,3.8,2.9,5.9,296,0.534,0.162,247,0.36,0.15,0.12,-428,-3,-101,0.16699999999999998,0.16699999999999998,2
15.0,0.5329999999999999,3.2,3.0,3.2,7.1,7.5,387,0.627,0.223,486,0.44,0.17,0.19,283,4,-65,0.133,0.133,1
35.0,0.6,2.8,3.3,3.3,5.7,7.2,372,0.575,0.21600000000000003,439,0.52,0.13,0.25,258,3,313,0.171,0.14300000000000002,23
19.0,0.316,2,3.1,3.5,4.1,7.1,355,0.6459999999999999,0.261,447,0.44,0.1,0.2,129,-0,164,0.263,0.158,14
53.0,0.47200000000000003,2.8,3.1,2.7,4.5,8.0,387,0.616,0.25,453,0.47,0.15,0.15,137,7,221,0.226,0.132,21
18.0,0.444,2.7,2.3,2.6,4.8,7.8,381,0.655,0.252,431,0.43,0.19,0.15,456,2,-208,0.278,0.111,5
21.0,0.33299999999999996,2.4,2.5,2.9,4.2,7.0,346,0.578,0.24,372,0.49,0.13,0.18,-252,-10,-173,0.048,0.0,8
124.0,0.669,3.5,2.7,2.3,5.5,8.2,391,0.585,0.217,406,0.44,0.2,0.19,157,2,121,0.27399999999999997,0.09699999999999999,46
34.0,0.382,2.6,2.9,2.9,4.9,7.1,363,0.624,0.24100000000000002,428,0.4,0.14,0.12,178,1,-1,0.235,0.17600000000000002,6
30.0,0.267,2,2.4,2.9,3.5,7.7,364,0.518,0.255,415,0.42,0.14,0.14,-54,0,-27,0.067,0.2,13
50.0,0.56,4.1,3.6,2.4,6.1,7.6,390,0.655,0.254,484,0.28,0.14,0.13,362,3,219,0.28,0.1,21
36.0,0.389,1.9,2.2,3.3,3.9,7.4,358,0.594,0.214,351,0.37,0.17,0.16,-149,-7,-270,0.111,0.16699999999999998,9
15.0,0.4,1.9,1.3,3.2,4.9,6.7,334,0.529,0.192,321,0.5,0.15,0.2,-528,-14,-207,0.267,0.267,4
91.0,0.527,2.4,2.7,3.1,4.8,7.9,379,0.608,0.273,492,0.39,0.25,0.1,23,0,-39,0.165,0.242,34
54.0,0.593,2.3,3.4,4.0,5.8,7.2,378,0.623,0.226,455,0.47,0.14,0.17,-138,-8,-294,0.315,0.16699999999999998,17
27.0,0.444,2.6,3.1,3.3,5.3,6.5,344,0.593,0.204,410,0.41,0.18,0.18,-63,-4,-50,0.40700000000000003,0.185,13
47.0,0.34,2,2.7,2.8,3.0,8.5,393,0.531,0.237,402,0.4,0.18,0.11,490,18,219,0.128,0.213,12
44.0,0.386,1.9,2.1,4.1,5.7,6.6,342,0.593,0.267,517,0.31,0.11,0.05,-310,-15,-57,0.205,0.273,18
30.0,0.33299999999999996,2,1.8,3.0,4.3,7.3,357,0.544,0.196,352,0.49,0.13,0.21,-69,-2,-86,0.2,0.1,4
38.0,0.237,2.2,2.4,3.0,4.2,7.7,366,0.6679999999999999,0.243,403,0.47,0.2,0.15,-57,1,-175,0.158,0.079,4
52.0,0.5,2.5,3.3,3.4,5.3,7.5,388,0.537,0.23199999999999998,495,0.4,0.15,0.15,220,9,281,0.077,0.057999999999999996,26
34.0,0.353,2.7,1.6,2.1,4.0,7.8,362,0.523,0.221,389,0.47,0.14,0.15,-53,2,68,0.147,0.059000000000000004,4
56.0,0.5,2.7,2.3,2.8,5.3,6.7,344,0.546,0.21,431,0.43,0.1,0.15,46,0,-85,0.375,0.018000000000000002,9
39.0,0.513,2.2,2.6,3.3,4.9,7.4,373,0.539,0.22899999999999998,440,0.4,0.14,0.14,239,2,19,0.231,0.10300000000000001,17
13.0,0.769,3.7,4.6,2.3,4.0,8.0,419,0.5379999999999999,0.29100000000000004,565,0.32,0.06,0.06,813,20,649,0.385,0.0,13
21.0,0.14300000000000002,1.9,1.6,3.1,4.4,7.0,326,0.555,0.185,312,0.39,0.1,0.13,-832,-14,-369,0.19,0.19,2
67.0,0.642,5.7,1.9,1.4,6.2,6.6,347,0.519,0.168,327,0.37,0.09,0.11,-405,-14,-35,0.10400000000000001,0.03,8
36.0,0.222,1.5,1.5,3.6,3.8,6.9,333,0.5589999999999999,0.25,353,0.43,0.16,0.16,-889,-17,-478,0.222,0.222,6
18.0,0.278,1.4,1.9,4.2,4.0,7.1,341,0.406,0.19899999999999998,367,0.48,0.08,0.2,-774,-14,-337,0.0,0.16699999999999998,9
72.0,0.583,3.6,2.8,2.3,5.5,7.7,382,0.585,0.249,450,0.51,0.13,0.21,53,1,35,0.25,0.125,21
17.0,0.17600000000000002,1.6,2.8,3.8,3.5,7.6,373,0.565,0.237,410,0.3,0.09,0.1,-180,-5,-145,0.235,0.294,6
50.0,0.52,2.9,2.8,2.7,5.2,8.3,410,0.5589999999999999,0.266,489,0.45,0.18,0.18,434,10,285,0.26,0.18,16
34.0,0.382,2.5,2.6,2.4,3.4,8.0,378,0.496,0.239,410,0.4,0.13,0.11,266,6,170,0.059000000000000004,0.08800000000000001,15
76.0,0.632,3.1,2.8,2.6,5.1,7.9,391,0.552,0.214,447,0.45,0.13,0.14,147,2,97,0.263,0.171,32
74.0,0.392,1.8,2.1,3.4,4.0,7.5,359,0.586,0.24600000000000002,444,0.37,0.1,0.11,-63,1,-125,0.284,0.10800000000000001,26
27.0,0.40700000000000003,2.6,2.9,2.9,4.6,7.8,378,0.638,0.237,457,0.41,0.19,0.17,31,-8,-335,0.259,0.14800000000000002,10
34.0,0.47100000000000003,2.6,2.1,2.5,4.4,7.3,360,0.536,0.217,394,0.42,0.14,0.17,-310,-5,-291,0.059000000000000004,0.17600000000000002,3
66.0,0.485,2.7,1.8,2.2,4.0,8.0,366,0.5589999999999999,0.218,376,0.52,0.2,0.24,-214,-5,-184,0.152,0.152,9
78.0,0.449,2.2,2.0,2.9,4.4,7.3,357,0.525,0.231,418,0.47,0.18,0.21,20,2,-72,0.256,0.154,21
47.0,0.6809999999999999,3.8,3.0,2.6,6.7,7.7,386,0.5920000000000001,0.21,422,0.43,0.18,0.15,-138,-7,-123,0.255,0.085,24
39.0,0.564,2.5,2.9,3.3,5.2,7.2,360,0.529,0.2,380,0.36,0.15,0.08,-271,-5,-58,0.231,0.128,6
53.0,0.623,4,2.8,2.5,7.3,6.7,361,0.667,0.237,484,0.45,0.17,0.21,196,5,145,0.20800000000000002,0.151,21
38.0,0.605,4,1.8,1.6,4.6,8.1,386,0.511,0.217,384,0.48,0.16,0.19,355,6,98,0.237,0.184,8
90.0,0.42200000000000004,2,2.0,3.1,4.2,8.3,374,0.606,0.261,445,0.48,0.29,0.24,49,5,36,0.267,0.17800000000000002,17
67.0,0.597,3,2.5,2.8,5.7,7.3,362,0.586,0.203,383,0.53,0.15,0.27,-29,-1,-92,0.209,0.10400000000000001,16
32.0,0.344,1.9,1.5,2.7,3.6,7.3,339,0.512,0.21,309,0.49,0.22,0.19,-418,-15,-129,0.21899999999999997,0.094,6
68.0,0.735,5,3.1,1.9,6.1,7.6,392,0.594,0.218,466,0.51,0.15,0.19,454,11,228,0.17600000000000002,0.132,22
30.0,0.467,2.2,3.2,3.3,4.2,8.1,388,0.52,0.27699999999999997,500,0.42,0.18,0.22,-193,2,-90,0.033,0.267,14
75.0,0.507,3,2.5,2.3,4.5,7.7,371,0.5660000000000001,0.205,377,0.48,0.18,0.24,33,-3,164,0.28,0.133,25
49.0,0.51,2.5,3.2,2.9,4.1,7.6,384,0.534,0.226,413,0.43,0.19,0.13,-178,-7,-97,0.204,0.184,27
12.0,0.25,2.2,3.2,3.6,4.8,6.5,347,0.579,0.235,401,0.48,0.1,0.2,-606,-10,-416,0.16699999999999998,0.0,10
77.0,0.7140000000000001,3,2.2,2.8,6.2,7.0,360,0.5720000000000001,0.19699999999999998,414,0.42,0.11,0.09,-213,-7,-157,0.182,0.247,17
43.0,0.605,3.7,2.8,2.2,5.2,7.9,385,0.647,0.22699999999999998,433,0.36,0.19,0.16,10,-1,10,0.27899999999999997,0.09300000000000001,13
102.0,0.578,2,3.0,4.1,5.1,8.0,407,0.53,0.28800000000000003,635,0.36,0.13,0.07,541,17,132,0.049,0.11800000000000001,23
66.0,0.636,3.4,3.6,2.9,6.3,7.3,385,0.643,0.23,455,0.42,0.16,0.18,162,1,79,0.212,0.136,19
11.0,0.455,1.9,3.6,3.7,3.5,8.2,409,0.479,0.258,527,0.37,0.27,0.1,598,13,358,0.091,0.364,7
86.0,0.6629999999999999,3.6,3.4,2.6,6.0,7.7,398,0.589,0.228,475,0.48,0.16,0.18,224,2,101,0.081,0.11599999999999999,36
66.0,0.758,4.7,3.2,2.0,6.3,7.3,390,0.606,0.243,484,0.49,0.18,0.18,618,9,487,0.273,0.121,34
50.0,0.64,4.2,2.7,2.0,5.5,8.0,395,0.5329999999999999,0.209,408,0.41,0.12,0.12,356,7,254,0.18,0.12,13
38.0,0.395,2.5,2.5,3.0,5.0,7.2,361,0.584,0.18600000000000003,345,0.55,0.08,0.27,-353,-7,-151,0.079,0.053,9
19.0,0.316,2.8,2.7,2.7,4.9,7.2,358,0.608,0.21600000000000003,402,0.4,0.17,0.15,-262,-5,-310,0.263,0.21100000000000002,5
12.0,0.41700000000000004,2,1.0,2.2,3.3,7.2,329,0.465,0.22699999999999998,358,0.41,0.13,0.19,-591,-8,-151,0.083,0.083,0
41.0,0.366,1.9,1.7,3.0,4.2,7.7,352,0.5760000000000001,0.205,319,0.42,0.15,0.14,-346,-9,-337,0.22,0.244,5
20.0,0.2,2,2.6,3.4,4.0,7.4,357,0.599,0.21600000000000003,406,0.48,0.12,0.18,-401,-10,-130,0.25,0.1,7
14.0,0.214,2,2.5,3.6,4.6,6.6,331,0.619,0.20800000000000002,385,0.52,0.1,0.26,-1166,-24,-871,0.28600000000000003,0.14300000000000002,3
17.0,0.41200000000000003,2.3,2.6,3.3,5.0,7.0,352,0.507,0.258,469,0.36,0.06,0.1,-715,-12,-277,0.11800000000000001,0.11800000000000001,5
23.0,0.478,4.2,2.2,2.0,6.1,7.5,356,0.634,0.20199999999999999,375,0.45,0.11,0.16,-155,2,35,0.087,0.043,0
18.0,0.444,3.2,2.6,2.7,6.1,7.1,361,0.57,0.23399999999999999,400,0.41,0.13,0.12,-370,-17,-189,0.222,0.111,8
30.0,0.6,3.5,2.9,2.6,6.2,7.6,381,0.59,0.24100000000000002,473,0.52,0.17,0.2,210,-1,-20,0.36700000000000005,0.133,8
45.0,0.511,4.1,2.5,2.2,6.6,7.2,359,0.679,0.231,432,0.39,0.17,0.12,-168,0,134,0.156,0.17800000000000002,12
70.0,0.486,2.7,2.3,2.6,4.6,7.6,364,0.58,0.221,397,0.5,0.19,0.2,-69,2,-24,0.257,0.171,17
73.0,0.644,3.2,4.3,3.2,5.9,8.4,437,0.5720000000000001,0.263,573,0.37,0.11,0.08,688,16,277,0.13699999999999998,0.192,43
27.0,0.593,3.3,3.7,3.1,6.4,7.4,385,0.634,0.24100000000000002,518,0.5,0.21,0.17,301,2,21,0.37,0.037000000000000005,11
83.0,0.675,3,2.9,3.1,6.5,7.7,387,0.56,0.215,455,0.5,0.14,0.17,337,11,135,0.18100000000000002,0.096,33
76.0,0.48700000000000004,2.8,2.6,3.0,5.8,7.2,361,0.539,0.185,363,0.41,0.18,0.21,-309,-10,-174,0.132,0.053,4
22.0,0.5,3.4,3.3,2.7,5.9,7.4,376,0.594,0.24100000000000002,486,0.34,0.16,0.18,485,11,446,0.091,0.091,16
68.0,0.647,3.1,2.9,2.8,5.8,7.4,379,0.562,0.248,476,0.43,0.21,0.16,14,-1,2,0.27899999999999997,0.162,32
20.0,0.3,1.8,1.7,2.9,3.5,7.7,349,0.561,0.207,305,0.47,0.12,0.15,-569,-10,-200,0.1,0.25,8
54.0,0.611,2.7,4.3,3.5,5.2,8.7,425,0.525,0.245,519,0.39,0.16,0.11,507,17,392,0.14800000000000002,0.13,39
32.0,0.25,1.9,2.4,3.9,5.0,7.3,362,0.5710000000000001,0.237,426,0.43,0.14,0.12,-222,-5,-269,0.25,0.156,9
51.0,0.667,3.6,2.2,2.2,5.8,7.3,358,0.617,0.212,401,0.43,0.24,0.16,-243,-5,-264,0.11800000000000001,0.17600000000000002,13
104.0,0.7120000000000001,3.9,3.0,2.3,6.0,8.3,406,0.598,0.223,440,0.48,0.17,0.17,120,4,176,0.115,0.077,17
38.0,0.368,2.2,1.8,2.6,4.0,7.8,358,0.546,0.19399999999999998,320,0.43,0.18,0.17,-312,-1,-22,0.132,0.158,5
44.0,0.545,2.2,2.2,2.5,3.5,8.1,380,0.521,0.20800000000000002,391,0.36,0.17,0.11,155,13,146,0.159,0.25,15
15.0,0.467,2.4,1.9,3.1,5.5,7.0,350,0.605,0.22699999999999998,401,0.52,0.2,0.22,-32,1,212,0.2,0.133,3
23.0,0.304,1.9,2.0,2.9,3.6,7.3,347,0.557,0.212,361,0.4,0.14,0.11,-497,-7,-208,0.087,0.043,1
33.0,0.33299999999999996,2,2.1,3.5,4.9,7.1,344,0.624,0.23399999999999999,398,0.44,0.13,0.15,-335,-5,-294,0.182,0.273,3
49.0,0.51,2.8,2.4,2.6,5.0,7.6,373,0.648,0.24600000000000002,432,0.59,0.25,0.26,100,2,123,0.22399999999999998,0.14300000000000002,5
47.0,0.511,2.8,3.3,3.1,5.4,7.9,399,0.586,0.22899999999999998,470,0.51,0.18,0.2,621,14,207,0.34,0.106,19
28.0,0.28600000000000003,1.9,2.1,3.1,3.8,7.5,356,0.62,0.26,422,0.46,0.17,0.17,-127,5,69,0.14300000000000002,0.25,4
13.0,0.615,3.4,2.2,2.6,6.8,6.5,352,0.507,0.183,402,0.42,0.13,0.17,34,-4,19,0.077,0.077,5
84.0,0.667,3.7,3.5,2.6,6.2,7.4,393,0.5820000000000001,0.23,477,0.46,0.21,0.18,520,8,372,0.31,0.11900000000000001,43
26.0,0.615,3.3,2.8,2.6,5.8,7.2,374,0.635,0.24100000000000002,437,0.37,0.14,0.1,83,-5,46,0.385,0.077,8
72.0,0.47200000000000003,2.2,2.4,3.1,4.3,7.4,365,0.5920000000000001,0.24,427,0.4,0.21,0.22,182,-2,-78,0.18100000000000002,0.083,9
12.0,0.25,2.3,2.3,3.0,4.5,7.1,356,0.64,0.21100000000000002,406,0.43,0.14,0.16,107,6,19,0.0,0.083,3
14.0,0.5710000000000001,2,2.2,3.9,5.6,7.3,371,0.594,0.273,526,0.42,0.16,0.1,-73,1,-54,0.429,0.071,4
43.0,0.349,2.6,2.3,2.6,4.4,7.8,375,0.589,0.237,421,0.39,0.12,0.08,-343,-8,-128,0.18600000000000003,0.209,10
57.0,0.526,3.2,2.6,2.6,5.7,7.1,368,0.596,0.21600000000000003,424,0.45,0.13,0.16,105,-1,17,0.298,0.07,13
35.0,0.371,1.9,1.5,2.8,3.9,7.2,339,0.532,0.248,404,0.48,0.2,0.17,-125,3,40,0.22899999999999998,0.171,6
18.0,0.222,2.6,2.3,2.7,4.6,6.7,342,0.519,0.22399999999999998,420,0.39,0.09,0.12,-646,-11,-323,0.055999999999999994,0.222,6
64.0,0.594,2.7,2.3,2.9,5.6,7.7,378,0.59,0.22,413,0.38,0.17,0.12,-37,3,70,0.21899999999999997,0.156,10
49.0,0.408,3.2,2.3,2.0,4.0,8.2,387,0.589,0.23399999999999999,424,0.46,0.24,0.18,98,3,194,0.245,0.14300000000000002,17
23.0,0.391,2.1,2.1,2.7,3.6,8.0,381,0.5760000000000001,0.23399999999999999,357,0.55,0.17,0.28,158,-2,-165,0.174,0.261,1
43.0,0.5579999999999999,3.2,3.6,2.7,5.1,7.7,391,0.568,0.22899999999999998,396,0.42,0.18,0.19,-5,-3,-104,0.163,0.11599999999999999,5
33.0,0.33299999999999996,2.4,2.8,3.1,4.5,7.6,372,0.653,0.242,439,0.45,0.13,0.2,-186,-7,-150,0.212,0.091,12
47.0,0.511,3,2.9,2.8,5.7,7.3,369,0.619,0.212,417,0.43,0.19,0.15,-67,-0,91,0.213,0.23399999999999999,15
12.0,0.667,2.9,3.1,3.1,5.9,7.3,361,0.6729999999999999,0.304,574,0.39,0.19,0.17,-88,-7,70,0.16699999999999998,0.16699999999999998,4
14.0,0.5,5,3.4,1.5,4.1,7.9,368,0.605,0.217,361,0.57,0.15,0.3,-446,-18,-585,0.28600000000000003,0.0,2
43.0,0.419,3.5,4.0,2.4,4.3,9.4,418,0.685,0.309,566,0.48,0.24,0.21,-26,1,31,0.163,0.047,17
41.0,0.488,3.1,2.9,2.9,6.1,8.2,384,0.7190000000000001,0.28300000000000003,535,0.44,0.17,0.19,233,4,106,0.39,0.073,6
54.0,0.63,5.4,2.6,1.7,6.7,7.2,354,0.659,0.225,427,0.52,0.2,0.24,-295,-11,-256,0.259,0.055999999999999994,6
18.0,0.111,1.7,2.8,3.6,3.3,8.2,368,0.564,0.263,479,0.44,0.12,0.2,-460,-7,-404,0.16699999999999998,0.16699999999999998,7
58.0,0.552,3.3,3.3,2.4,4.9,8.0,386,0.6659999999999999,0.266,484,0.46,0.23,0.19,221,1,-94,0.276,0.10300000000000001,17
119.0,0.555,4.6,3.6,2.1,6.1,7.9,384,0.688,0.259,526,0.46,0.2,0.2,-23,3,-39,0.134,0.025,9
18.0,0.278,1.9,2.1,3.2,3.9,8.8,382,0.6609999999999999,0.289,432,0.49,0.13,0.2,-260,-2,-4,0.16699999999999998,0.222,4
42.0,0.405,3.5,3.3,2.5,5.3,8.5,388,0.6729999999999999,0.299,562,0.45,0.19,0.18,-108,2,164,0.19,0.095,12
14.0,0.214,2.4,2.6,2.8,4.0,8.3,374,0.595,0.278,462,0.43,0.18,0.13,-300,0,37,0.214,0.071,0
47.0,0.511,5.2,4.6,1.8,4.7,8.7,408,0.727,0.308,561,0.47,0.3,0.18,348,8,236,0.128,0.106,18
82.0,0.537,2.8,3.3,3.0,5.2,8.4,403,0.596,0.266,504,0.39,0.21,0.15,137,1,-10,0.183,0.11,27
27.0,0.444,3.2,3.8,2.9,5.4,8.3,395,0.601,0.292,597,0.31,0.24,0.13,137,5,191,0.185,0.037000000000000005,12
24.0,0.75,4.6,3.8,2.1,6.0,8.0,394,0.598,0.235,500,0.5,0.23,0.24,147,6,138,0.042,0.0,13
44.0,0.5,3.9,3.5,2.0,4.2,8.3,388,0.69,0.261,481,0.48,0.23,0.2,61,-1,93,0.273,0.159,9
33.0,0.455,4.8,4.3,1.9,4.9,8.3,392,0.642,0.29100000000000004,524,0.35,0.15,0.12,-125,-0,19,0.121,0.061,9
124.0,0.669,5.6,3.6,1.7,6.0,8.6,410,0.6829999999999999,0.256,484,0.51,0.23,0.26,330,4,119,0.282,0.073,28
14.0,0.14300000000000002,2,2.3,3.0,3.6,9.0,374,0.47600000000000003,0.301,480,0.43,0.15,0.18,-267,7,37,0.14300000000000002,0.071,4
77.0,0.532,5.9,3.4,1.4,5.2,8.7,401,0.6829999999999999,0.263,475,0.4,0.15,0.15,85,0,86,0.23399999999999999,0.013000000000000001,22
19.0,0.526,3.3,2.8,2.3,4.7,8.0,382,0.5710000000000001,0.24100000000000002,434,0.42,0.2,0.21,-347,-7,-426,0.263,0.053,3
52.0,0.635,4.2,4.3,2.3,5.4,7.8,392,0.657,0.263,526,0.45,0.17,0.18,210,2,31,0.212,0.17300000000000001,18
41.0,0.659,5.1,4.4,1.9,5.0,9.6,438,0.6559999999999999,0.27699999999999997,530,0.46,0.25,0.18,574,17,506,0.317,0.073,25
58.0,0.603,4.8,4.0,2.1,6.3,7.9,390,0.7,0.263,506,0.45,0.13,0.18,191,-0,104,0.207,0.034,12
14.0,0.071,2,2.2,2.8,3.4,7.8,350,0.505,0.251,383,0.38,0.09,0.14,-853,-16,-642,0.14300000000000002,0.0,4
50.0,0.52,4.2,3.7,2.2,5.3,8.6,405,0.639,0.281,533,0.47,0.19,0.18,178,-0,102,0.24,0.08,5
16.0,0.313,3.3,2.6,2.6,6.0,7.2,352,0.674,0.20600000000000002,406,0.57,0.19,0.23,-367,-12,-225,0.125,0.125,5
52.0,0.6920000000000001,5.4,3.6,1.7,5.7,7.8,384,0.6659999999999999,0.25,462,0.34,0.18,0.15,111,-1,-57,0.212,0.096,9
49.0,0.612,4.5,5.0,2.4,6.1,8.7,424,0.6779999999999999,0.276,564,0.37,0.18,0.14,167,1,32,0.245,0.061,21
21.0,0.857,4.8,3.5,2.2,7.0,8.4,400,0.6829999999999999,0.237,443,0.47,0.13,0.15,-277,-8,-154,0.19,0.14300000000000002,9
59.0,0.6609999999999999,4.1,2.7,2.1,5.8,8.0,379,0.613,0.257,502,0.59,0.15,0.3,104,2,-3,0.237,0.017,8
27.0,0.40700000000000003,4,3.9,2.0,3.9,8.6,390,0.64,0.303,546,0.55,0.21,0.27,-114,-5,-122,0.222,0.111,4
12.0,0.41700000000000004,1.9,2.5,3.2,3.7,8.1,367,0.606,0.205,337,0.44,0.16,0.2,-205,-8,-53,0.16699999999999998,0.083,0
46.0,0.37,4,4.1,2.2,4.8,8.6,405,0.722,0.3,536,0.39,0.21,0.23,101,5,203,0.13,0.065,16
23.0,0.348,3.5,2.9,2.4,5.5,8.5,388,0.6759999999999999,0.278,457,0.46,0.24,0.17,-26,7,-11,0.174,0.043,4
20.0,0.4,2.2,3.6,3.5,4.2,8.4,384,0.622,0.29,493,0.42,0.15,0.16,-110,0,-302,0.45,0.05,4
128.0,0.625,4.4,3.3,1.9,4.8,9.5,423,0.6609999999999999,0.263,517,0.47,0.38,0.18,317,14,397,0.172,0.102,29
26.0,0.462,4.8,4.9,2.2,5.5,8.3,412,0.721,0.28300000000000003,576,0.42,0.15,0.19,236,8,322,0.154,0.0,14
19.0,0.316,2.7,2.6,2.5,4.1,8.6,382,0.599,0.276,480,0.53,0.17,0.25,-171,-4,-0,0.21100000000000002,0.263,10
66.0,0.636,4.3,3.9,2.3,6.2,8.1,398,0.657,0.265,526,0.42,0.15,0.22,124,1,79,0.242,0.091,34
15.0,0.8,5.7,4.0,1.5,4.7,9.0,413,0.583,0.252,471,0.41,0.14,0.16,264,1,283,0.2,0.133,7
53.0,0.547,4.7,4.2,2.1,5.8,8.1,395,0.6659999999999999,0.251,493,0.43,0.11,0.19,69,1,63,0.28300000000000003,0.094,21
13.0,0.615,3.5,4.6,2.6,4.6,7.8,395,0.6709999999999999,0.32,629,0.42,0.15,0.14,227,9,400,0.154,0.077,6
40.0,0.575,3,2.8,2.3,4.1,7.7,358,0.5870000000000001,0.298,533,0.49,0.21,0.23,-248,-7,-14,0.075,0.1,10
28.0,0.5,2.4,2.3,3.1,5.0,8.7,385,0.5429999999999999,0.254,469,0.35,0.25,0.19,-73,5,-101,0.107,0.036000000000000004,2
29.0,0.10300000000000001,2.1,2.3,3.1,4.1,7.5,349,0.684,0.307,538,0.38,0.11,0.15,-608,-8,-88,0.10300000000000001,0.034,5
16.0,0.625,4.6,1.8,1.5,5.1,7.8,362,0.655,0.228,383,0.54,0.17,0.26,-186,-9,-161,0.188,0.063,2
36.0,0.41700000000000004,2.6,2.9,2.8,4.4,8.3,380,0.6409999999999999,0.281,503,0.58,0.24,0.29,44,2,-93,0.16699999999999998,0.111,12
45.0,0.556,6,5.0,2.0,7.2,8.4,417,0.7390000000000001,0.29,590,0.41,0.17,0.16,313,0,-252,0.044000000000000004,0.0,0
60.0,0.583,4.3,3.6,2.1,5.4,8.7,400,0.647,0.275,505,0.36,0.16,0.19,65,1,98,0.217,0.067,20
72.0,0.75,4.7,4.5,2.2,5.9,8.9,434,0.652,0.273,584,0.46,0.15,0.19,331,6,237,0.16699999999999998,0.083,28
51.0,0.529,3.9,3.0,2.1,5.5,8.6,393,0.684,0.264,494,0.45,0.21,0.22,-33,-2,-64,0.235,0.078,12
43.0,0.605,3.5,2.3,2.3,5.8,7.5,356,0.6559999999999999,0.22,416,0.48,0.19,0.2,-485,-17,-184,0.233,0.09300000000000001,0
19.0,0.42100000000000004,4.6,3.2,1.8,5.3,8.8,390,0.677,0.29100000000000004,488,0.37,0.19,0.15,179,9,286,0.105,0.0,2
32.0,0.406,4,4.1,2.2,4.7,8.5,398,0.627,0.28,541,0.5,0.19,0.21,165,1,128,0.188,0.063,9
18.0,0.444,5.1,4.0,1.7,4.8,7.5,367,0.6,0.243,421,0.36,0.17,0.12,-387,-8,132,0.055999999999999994,0.16699999999999998,7
14.0,0.7140000000000001,5,4.2,2.4,7.6,8.4,419,0.619,0.298,632,0.41,0.12,0.16,353,2,134,0.214,0.071,8
12.0,0.083,1.7,2.9,3.7,3.2,7.1,343,0.61,0.23,368,0.38,0.11,0.13,-730,-15,-409,0.083,0.0,3
95.0,0.684,5,5.8,2.4,6.2,8.6,442,0.6559999999999999,0.268,579,0.47,0.22,0.2,717,8,336,0.337,0.07400000000000001,80
42.0,0.405,3.2,3.9,2.8,5.1,7.5,376,0.649,0.24,495,0.39,0.24,0.17,-316,-14,-376,0.23800000000000002,0.0,18
111.0,0.5770000000000001,4.8,3.8,2.3,7.0,8.5,416,0.7509999999999999,0.28600000000000003,527,0.44,0.21,0.14,-138,-4,-136,0.162,0.027000000000000003,6
52.0,0.365,2.8,2.0,2.0,3.7,8.4,373,0.633,0.26,405,0.5,0.25,0.23,-164,-3,-137,0.17300000000000001,0.154,6
52.0,0.5579999999999999,3.9,4.3,2.5,5.3,8.6,418,0.632,0.267,535,0.43,0.25,0.22,470,8,218,0.231,0.038,24
10.0,0.9,6.2,5.1,1.9,6.6,9.0,460,0.66,0.332,745,0.44,0.22,0.16,882,13,562,0.3,0.1,12
35.0,0.371,2.5,2.6,2.3,3.3,8.7,382,0.67,0.273,440,0.48,0.23,0.23,-9,-1,-79,0.2,0.086,9
28.0,0.28600000000000003,2.6,2.2,1.9,2.9,8.7,370,0.623,0.305,466,0.43,0.22,0.17,-141,1,-122,0.071,0.071,3
48.0,0.5,4.2,3.8,2.1,5.1,8.0,392,0.682,0.249,447,0.42,0.21,0.22,200,-3,-37,0.25,0.042,13
59.0,0.542,3.1,4.0,3.0,5.4,7.5,381,0.626,0.212,428,0.36,0.12,0.14,-707,-24,-554,0.22,0.11900000000000001,19
19.0,0.632,3,3.9,3.4,6.2,7.6,389,0.62,0.257,524,0.43,0.14,0.14,442,11,264,0.368,0.158,11
19.0,0.42100000000000004,3.7,2.8,2.6,6.9,6.8,343,0.7120000000000001,0.177,324,0.35,0.2,0.18,-591,-17,-482,0.263,0.053,6
50.0,0.6,3.8,3.7,2.4,5.2,8.5,395,0.64,0.271,515,0.54,0.18,0.3,-259,-6,-163,0.18,0.1,15
18.0,0.444,4.1,3.0,2.1,5.4,7.8,365,0.619,0.24600000000000002,442,0.51,0.18,0.26,-67,-3,-178,0.33299999999999996,0.055999999999999994,4
50.0,0.48,4.6,3.7,1.8,4.6,8.9,408,0.6940000000000001,0.293,532,0.52,0.24,0.21,134,2,73,0.18,0.08,13
98.0,0.612,5,2.8,1.7,5.4,9.0,406,0.6759999999999999,0.262,468,0.53,0.27,0.22,202,3,121,0.235,0.092,15
40.0,0.45,2.9,2.9,2.4,3.9,8.6,393,0.6459999999999999,0.27899999999999997,474,0.38,0.21,0.2,-80,-0,40,0.25,0.05,6
66.0,0.485,2.7,2.1,2.2,3.7,8.5,372,0.51,0.21100000000000002,391,0.45,0.17,0.23,-62,1,-78,0.091,0.061,7
22.0,0.364,3.7,2.5,1.9,4.6,8.5,370,0.616,0.268,439,0.29,0.18,0.16,-76,0,32,0.273,0.182,3
