Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Penta Kills,Solo Kills
27,0.63,3,2.4,2.9,6.2,7.0,355,0.609,0.221,400,1.03,0.46,0.15,0.15,-180,-4,-102,0.222,0.111,0,5
82,0.415,2,2.8,3.3,3.6,8.0,383,0.552,0.248,433,0.87,0.37,0.16,0.12,14,5,-62,0.085,0.061,0,18
1,1.0,3,1.0,2.0,5.0,8.4,375,0.6,0.23399999999999999,348,1.13,0.46,0.12,0.15,-217,-8,-252,0.0,0.0,0,0
77,0.532,3.3,2.7,2.4,5.1,7.6,376,0.633,0.249,448,1.04,0.52,0.15,0.26,250,-0,-31,0.364,0.13,0,19
18,0.444,2.5,4.6,3.6,4.3,8.5,417,0.624,0.302,555,0.78,0.35,0.14,0.08,215,14,-112,0.5,0.111,1,14
23,0.348,2,2.5,3.3,4.3,7.2,354,0.598,0.19699999999999998,324,0.89,0.31,0.21,0.16,-363,-7,-376,0.391,0.043,0,9
15,0.6,2.4,1.8,2.7,4.6,7.3,365,0.455,0.22399999999999998,387,0.98,0.44,0.18,0.2,-43,-6,-15,0.2,0.2,0,2
67,0.597,2.6,2.7,3.2,5.6,7.4,378,0.618,0.23399999999999999,431,1,0.48,0.15,0.22,-79,-6,4,0.22399999999999998,0.149,0,28
11,0.273,1.6,2.6,4.8,5.3,6.5,335,0.5579999999999999,0.233,450,0.88,0.43,0.1,0.13,-464,-15,-118,0.091,0.273,0,4
5,0.0,1.8,1.6,3.8,5.2,8.7,381,0.612,0.217,407,0.98,0.43,0.19,0.15,102,19,369,0.6,0.0,0,0
13,0.615,3.5,2.2,2.8,7.4,6.6,346,0.642,0.191,372,0.73,0.32,0.09,0.07,-254,-2,32,0.0,0.231,0,4
36,0.25,2.1,1.6,2.6,3.8,7.3,346,0.583,0.20800000000000002,329,0.98,0.5,0.14,0.25,-149,-0,48,0.111,0.16699999999999998,0,7
107,0.645,4.6,2.8,1.7,5.3,8.3,396,0.63,0.22899999999999998,418,1.03,0.43,0.2,0.17,63,-2,46,0.23399999999999999,0.131,0,45
14,0.28600000000000003,1.2,1.4,4.3,3.8,6.5,320,0.5429999999999999,0.21600000000000003,377,0.94,0.44,0.15,0.13,-580,-18,-762,0.28600000000000003,0.071,0,1
37,0.757,3.5,2.8,2.3,5.5,7.7,382,0.638,0.24,435,1.08,0.45,0.21,0.2,231,6,182,0.10800000000000001,0.162,0,9
30,0.2,2.1,2.4,3.2,4.3,7.7,366,0.63,0.23199999999999998,384,0.85,0.42,0.12,0.13,-177,-7,-308,0.3,0.133,0,7
64,0.516,3.3,2.8,2.3,4.8,7.4,372,0.5710000000000001,0.203,374,0.92,0.35,0.15,0.13,88,2,114,0.21899999999999997,0.109,0,24
3,0.667,5,1.3,1.0,3.7,9.7,411,0.397,0.257,467,1.69,0.5,0.46,0.18,880,26,550,0.0,0.33299999999999996,0,1
66,0.53,2.1,2.8,3.5,4.4,7.6,389,0.544,0.221,415,0.91,0.44,0.16,0.14,193,1,-84,0.242,0.106,0,31
20,0.65,3.5,4.6,2.6,4.6,7.9,421,0.5529999999999999,0.244,539,1.08,0.48,0.19,0.18,341,12,83,0.15,0.05,0,12
1,0.0,1,2.0,3.0,1.0,5.2,280,0.6,0.19699999999999998,323,0.22,0.22,0,0,-1836,-64,-1892,0.0,1.0,0,0
30,0.4,2.6,2.2,2.7,4.9,7.5,357,0.532,0.21600000000000003,383,0.9,0.43,0.16,0.11,-759,-4,-372,0.033,0.033,0,0
64,0.359,1.8,2.2,3.2,3.7,7.6,360,0.5870000000000001,0.24100000000000002,405,1.07,0.52,0.22,0.26,-110,-3,-172,0.125,0.188,0,12
98,0.49,3,2.4,2.5,5.1,7.7,370,0.583,0.233,417,0.99,0.5,0.12,0.2,144,4,130,0.040999999999999995,0.071,0,5
17,0.235,1.6,2.0,2.8,2.5,6.6,322,0.514,0.22699999999999998,353,0.93,0.36,0.12,0.09,-256,-11,103,0.11800000000000001,0.235,0,5
40,0.45,2.8,2.2,2.3,4.1,8.0,387,0.601,0.23800000000000002,405,0.86,0.44,0.12,0.15,-133,-2,-124,0.2,0.2,0,7
9,0.222,1.5,2.8,4.0,3.3,6.6,342,0.539,0.20800000000000002,382,0.76,0.39,0.1,0.15,-790,-21,-715,0.222,0.111,1,2
41,0.488,3.5,3.3,2.2,4.7,7.8,397,0.652,0.24600000000000002,475,0.97,0.48,0.12,0.2,505,8,303,0.317,0.024,0,11
14,0.28600000000000003,2.1,2.9,3.1,3.6,7.9,367,0.7440000000000001,0.281,456,0.91,0.44,0.17,0.12,331,12,478,0.28600000000000003,0.214,0,6
